"","Code","Activity","Type","Name","Variable","From","To","measure"
"74","IP-EF-029","IP","Efficiencies","Same Day Emergency Care (Moderate Potential)","same_day_emergency_care_moderate","v3.4.0","-","Admissions per 1,000 population"
"75","IP-EF-030","IP","Efficiencies","Same Day Emergency Care (High Potential)","same_day_emergency_care_high","v3.4.0","-","Admissions per 1,000 population"
"76","IP-EF-031","IP","Efficiencies","Same Day Emergency Care (Very High Potential)","same_day_emergency_care_very_high","v3.4.0","-","Admissions per 1,000 population"
"77","OP-AA-001","OP","Activity avoidance","Outpatient Consultant to Consultant Referrals (Adult, Non-Surgical)","consultant_to_consultant_reduction_adult_non-surgical","v0.6.0","-","% of Appointments that are Consultant to Consultant Referrals"
"78","OP-AA-002","OP","Activity avoidance","Outpatient Consultant to Consultant Referrals (Adult, Surgical)","consultant_to_consultant_reduction_adult_surgical","v0.6.0","-","% of Appointments that are Consultant to Consultant Referrals"
"79","OP-AA-003","OP","Activity avoidance","Outpatient Consultant to Consultant Referrals (Children, Non-Surgical)","consultant_to_consultant_reduction_child_non-surgical","v0.6.0","-","% of Appointments that are Consultant to Consultant Referrals"
"80","OP-AA-004","OP","Activity avoidance","Outpatient Consultant to Consultant Referrals (Children, Surgical)","consultant_to_consultant_reduction_child_surgical","v0.6.0","-","% of Appointments that are Consultant to Consultant Referrals"
"81","OP-AA-005","OP","Activity avoidance","Outpatient Followup Appointment Reduction (Adult, Non-Surgical)","followup_reduction_adult_non-surgical","v0.6.0","-","Followup to First Ratio"
"82","OP-AA-006","OP","Activity avoidance","Outpatient Followup Appointment Reduction (Adult, Surgical)","followup_reduction_adult_surgical","v0.6.0","-","Followup to First Ratio"
"83","OP-AA-007","OP","Activity avoidance","Outpatient Followup Appointment Reduction (Children, Non-Surgical)","followup_reduction_child_non-surgical","v0.6.0","-","Followup to First Ratio"
"84","OP-AA-008","OP","Activity avoidance","Outpatient Followup Appointment Reduction (Children, Surgical)","followup_reduction_child_surgical","v0.6.0","-","Followup to First Ratio"
"85","OP-AA-009","OP","Activity avoidance","Outpatient GP Referred First Attendance Reduction (Adult, Non-Surgical)","gp_referred_first_attendance_reduction_adult_non-surgical","v0.6.3","-","% of Attendances that were GP Referred First Attendances"
"86","OP-AA-010","OP","Activity avoidance","Outpatient GP Referred First Attendance Reduction (Adult, Surgical)","gp_referred_first_attendance_reduction_adult_surgical","v0.6.3","-","% of Attendances that were GP Referred First Attendances"
"87","OP-AA-011","OP","Activity avoidance","Outpatient GP Referred First Attendance Reduction (Children, Non-Surgical)","gp_referred_first_attendance_reduction_child_non-surgical","v0.6.3","-","% of Attendances that were GP Referred First Attendances"
"88","OP-AA-012","OP","Activity avoidance","Outpatient GP Referred First Attendance Reduction (Children, Surgical)","gp_referred_first_attendance_reduction_child_surgical","v0.6.3","-","% of Attendances that were GP Referred First Attendances"
"89","OP-EF-001","OP","Efficiencies","Outpatient Convert to Tele-Attendance (Adult, Non-Surgical)","convert_to_tele_adult_non-surgical","v0.6.0","-","% of Appointments that are Face-to-Face"
"90","OP-EF-002","OP","Efficiencies","Outpatient Convert to Tele-Attendance (Adult, Surgical)","convert_to_tele_adult_surgical","v0.6.0","-","% of Appointments that are Face-to-Face"
"91","OP-EF-003","OP","Efficiencies","Outpatient Convert to Tele-Attendance (Children, Non-Surgical)","convert_to_tele_child_non-surgical","v0.6.0","-","% of Appointments that are Face-to-Face"
"92","OP-EF-004","OP","Efficiencies","Outpatient Convert to Tele-Attendance (Children, Surgical)","convert_to_tele_child_surgical","v0.6.0","-","% of Appointments that are Face-to-Face"
