Code,Activity,Type,Name,Variable,From,To
IP-EF-004,IP,Efficiencies,Ambulatory Emergency Care (Very High Potential),ambulatory_emergency_care_very_high,v0.6.0,v3.3.0
IP-EF-005,IP,Efficiencies,Day Procedures: Occasionally performed as a Daycase,day_procedures_occasionally_dc,v1.1.0,-
IP-EF-006,IP,Efficiencies,Day Procedures: Occasionally performed in Outpatients,day_procedures_occasionally_op,v1.1.0,-
IP-EF-007,IP,Efficiencies,Day Procedures: Usually performed as a Daycase,day_procedures_usually_dc,v1.1.0,-
IP-EF-008,IP,Efficiencies,Day Procedures: Usually performed in Outpatients,day_procedures_usually_op,v1.1.0,-
IP-EF-009,IP,Efficiencies,Emergency Admission of Older People,emergency_elderly,v0.6.0,-
IP-EF-010,IP,Efficiencies,Enhanced Recovery (Bladder),enhanced_recovery_bladder,v0.6.0,-
IP-EF-011,IP,Efficiencies,Enhanced Recovery (Breast),enhanced_recovery_breast,v0.6.0,-
IP-EF-012,IP,Efficiencies,Enhanced Recovery (Colectomy),enhanced_recovery_colectomy,v0.6.0,-
IP-EF-013,IP,Efficiencies,Enhanced Recovery (Hip),enhanced_recovery_hip,v0.6.0,-
IP-EF-014,IP,Efficiencies,Enhanced Recovery (Hysterectomy),enhanced_recovery_hysterectomy,v0.6.0,-
IP-EF-015,IP,Efficiencies,Enhanced Recovery (Knee),enhanced_recovery_knee,v0.6.0,-
IP-EF-016,IP,Efficiencies,Enhanced Recovery (Prostate),enhanced_recovery_prostate,v0.6.0,-
IP-EF-017,IP,Efficiencies,Enhanced Recovery (Rectum),enhanced_recovery_rectum,v0.6.0,-
IP-EF-018,IP,Efficiencies,Excess Beddays (Elective Admissions),excess_beddays_elective,v0.6.0,-
IP-EF-019,IP,Efficiencies,Excess Beddays (Emergency Admissions),excess_beddays_emergency,v0.6.0,-
IP-EF-020,IP,Efficiencies,General LoS Reduction: Elective Admissions,general_los_reduction_elective,v0.6.0,-
IP-EF-021,IP,Efficiencies,General LoS Reduction: Emergency Admissions,general_los_reduction_emergency,v0.6.0,-
IP-EF-022,IP,Efficiencies,Pre-op Length of Stay of 1 day,pre-op_los_1-day,v0.6.0,-
IP-EF-023,IP,Efficiencies,Pre-op Length of Stay of 2 days,pre-op_los_2-day,v0.6.0,-
IP-EF-024,IP,Efficiencies,Admissions with Mental Health Comorbidities,raid_ip,v0.6.0,-
IP-EF-025,IP,Efficiencies,Stroke Early Supported Discharge,stroke_early_supported_discharge,v0.6.0,-
IP-EF-026,IP,Efficiencies,Virtual Wards LoS Reduction (Acute Respiratory Infection),virtual_wards_efficiencies_ari,v1.1.0,-
IP-EF-027,IP,Efficiencies,Virtual Wards LoS Reduction (Heart Failure),virtual_wards_efficiencies_heart_failure,v1.1.0,-
IP-EF-028,IP,Efficiencies,Same Day Emergency Care (Low Potential),same_day_emergency_care_low,v3.4.0,-
IP-EF-029,IP,Efficiencies,Same Day Emergency Care (Moderate Potential),same_day_emergency_care_moderate,v3.4.0,-
IP-EF-030,IP,Efficiencies,Same Day Emergency Care (High Potential),same_day_emergency_care_high,v3.4.0,-
IP-EF-031,IP,Efficiencies,Same Day Emergency Care (Very High Potential),same_day_emergency_care_very_high,v3.4.0,-
OP-AA-001,OP,Activity avoidance,"Outpatient Consultant to Consultant Referrals (Adult, Non-Surgical)",consultant_to_consultant_reduction_adult_non-surgical,v0.6.0,-
OP-AA-002,OP,Activity avoidance,"Outpatient Consultant to Consultant Referrals (Adult, Surgical)",consultant_to_consultant_reduction_adult_surgical,v0.6.0,-
OP-AA-003,OP,Activity avoidance,"Outpatient Consultant to Consultant Referrals (Children, Non-Surgical)",consultant_to_consultant_reduction_child_non-surgical,v0.6.0,-
